iter	Passed	Remaining
0	8	1747
1	17	1756
2	26	1735
3	38	1874
4	52	2049
5	60	1940
6	67	1864
7	74	1780
8	80	1711
9	89	1699
10	98	1692
11	104	1643
12	114	1645
13	126	1683
14	137	1698
15	149	1719
16	156	1681
17	167	1695
18	176	1678
19	185	1667
20	193	1650
21	205	1660
22	214	1647
23	224	1648
24	236	1657
25	245	1640
26	253	1627
27	260	1599
28	269	1591
29	280	1590
30	291	1588
31	302	1590
32	313	1587
33	322	1573
34	331	1563
35	345	1572
36	356	1570
37	368	1572
38	388	1605
39	405	1622
40	416	1613
41	428	1613
42	441	1612
43	455	1615
44	468	1613
45	478	1600
46	489	1593
47	501	1589
48	512	1578
49	523	1569
50	536	1567
51	548	1561
52	557	1546
53	568	1536
54	577	1522
55	583	1501
56	594	1491
57	601	1471
58	610	1458
59	620	1446
60	628	1433
61	640	1424
62	649	1412
63	658	1399
64	669	1391
65	679	1378
66	687	1365
67	698	1356
68	709	1347
69	722	1342
70	731	1329
71	741	1318
72	752	1309
73	765	1304
74	775	1292
75	786	1283
76	797	1274
